response,classifier,count
flee,120001_240000,87
stay,120001_240000,139
different,120001_240000,73
flee,30000_60000,155
stay,30000_60000,269
different,30000_60000,135
flee,60001_120000,106
stay,60001_120000,194
different,60001_120000,90
flee,less_30000,384
stay,less_30000,591
different,less_30000,355
flee,over_240000,155
stay,over_240000,206
different,over_240000,193
flee,no_income_response,0
stay,no_income_response,0
different,no_income_response,1
